latitude,longitude,uuid,gattung_botanisch,gattung_deutsch,art_botanisch,art_deutsch,alleebaum,hoehe,stammdurchmesser,stammumfang,kronendurchmesser,baumpatenschaft
54.1454832672379,12.0813576355727,4765f707-c357-4596-b4a0-36e19251dfc8,Fraxinus,Esche,Fraxinus excelsior,Gemeine Esche,0,6.00,8.00,25.13,3.00,0
54.1061866284826,12.1756753128466,ad939ec8-c401-4b01-9e03-b3a911a22f01,Tilia,Linde,Tilia cordata,Winter-Linde,1,13.00,28.00,87.96,6.00,0
54.1059594256775,12.17598560174,4ce464d3-56dd-41be-bcdd-65da5aa92cbc,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1057920390356,12.1761897673899,d9690582-8101-4823-bcca-cfae40329821,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,6.00,0
54.0910754299759,12.0879970374462,358b7820-5c61-464d-ad59-0a49a5f531a6,Tilia,Linde,Tilia cordata,Winter-Linde,1,14.00,49.97,157.00,9.00,0
54.1043360354467,12.1615294142957,55bd39b6-775c-4555-8947-c1be213cd875,Quercus,Eiche,Quercus palustris,Sumpf-Eiche,0,16.00,33.00,103.67,10.00,0
54.1083800892781,12.1719286582043,5b12f90b-6963-44ac-99a1-18231ee2c18e,Tilia,Linde,Tilia cordata,Winter-Linde,0,12.00,25.00,78.54,5.00,0
54.1034348313901,12.144143640867,f5141f4d-c325-425e-b272-9ea412b60bb9,Salix,Weide,Salix species,Weide,0,10.00,7.00,22.00,2.00,0
54.1083945610838,12.1720355462091,450c64cd-bd63-494b-9c42-51f14192dded,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1048679461669,12.1770982263775,5218732c-506f-4fd7-9bce-b99e89857a49,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.0850583545682,12.1414417379988,0e41790c-3e10-4f6a-8566-c9df4208645d,Fraxinus,Esche,Fraxinus ornus „Rotterdam“,Blumenesche „Rotterdam“,0,5.00,5.73,18.00,1.00,0
54.1046583334306,12.1772157479607,5ae67456-9603-4e94-a550-851a19bf0873,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.0650741114088,12.1291254129491,ca8d9279-03bd-4129-a4f6-40f0b663913d,Acer,Ahorn,Acer platanoides,Spitz-Ahorn,0,5.50,9.87,31.00,3.30,0
54.1083451356689,12.1721207736783,6b4f24ab-080a-4786-9d54-650d48289040,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1060809034809,12.1758289275619,2dc0eea2-854e-4489-a638-6b80b55708d6,Tilia,Linde,Tilia cordata,Winter-Linde,1,13.00,25.00,78.54,6.00,0
54.1065453345832,12.1750878576132,31ce68ac-4fce-4d58-9ccf-7dbcc237b6a3,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1085031351727,12.1718465259427,346d6ed5-998e-4a92-8731-e18b1a715f07,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1064439368732,12.1752610715003,74b8ef0a-a2c2-47e9-bd58-09c832d9170e,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1051926494811,12.1768429829935,71106eb4-d212-44b1-8ffa-b90b37b2b32f,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1047297651674,12.1771753971573,5ff7acf4-080f-4384-9152-2a1c486fab6e,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1056658143601,12.1763242708351,c4b82456-e20a-4462-a7b3-3482dda4c02c,Tilia,Linde,Tilia cordata,Winter-Linde,1,13.00,25.00,78.54,6.00,0
